********************************************************************************
Field Output Report, written Wed Oct 28 16:02:05 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/PressureSteps/PressureJob.odb
   Step: Step-Pressure
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            9161         11.5317    -129.534E-03         11.5302    -133.134E-03
            9162         11.5098    -130.868E-03         11.5083    -134.650E-03
            9163         11.5322    -128.783E-03         11.5308    -129.838E-03
            9164         11.5281    -128.731E-03         11.5266    -129.225E-03
            9165         11.5157    -130.724E-03         11.5142    -135.515E-03
            9166         11.4866    -131.454E-03         11.4850    -134.358E-03
            9167         11.5399    -128.001E-03         11.5384    -129.961E-03
            9168         11.4981    -131.479E-03         11.4966    -135.323E-03
            9169         11.5305    -128.124E-03         11.5291    -129.018E-03
            9170         11.5049    -131.425E-03         11.5034    -136.482E-03
            9171         11.5309    -129.310E-03         11.5295    -131.117E-03
            9172         11.5249    -128.092E-03         11.5235    -127.944E-03
            9173         11.5271    -129.466E-03         11.5256    -130.516E-03
            9174         11.5193    -130.401E-03         11.5178    -133.693E-03
            9175         11.5248    -129.999E-03         11.5233    -133.977E-03
            9176         11.4942    -132.093E-03         11.4926    -138.871E-03
            9177         11.5132    -127.283E-03         11.5118    -125.583E-03
            9178         11.5259    -129.998E-03         11.5244    -132.289E-03
            9179         11.5061    -131.169E-03         11.5046    -135.587E-03
            9180         11.4771    -132.202E-03         11.4755    -135.449E-03
            9181         11.5335    -127.173E-03         11.5321    -128.719E-03
            9182         11.4835    -132.143E-03         11.4819    -135.997E-03
            9183         11.5296    -127.270E-03         11.5282    -128.254E-03
            9184         11.4921    -132.086E-03         11.4905    -137.686E-03
            9185         11.5193    -127.268E-03         11.5179    -126.605E-03
            9186         11.4971    -132.568E-03         11.4954    -140.214E-03
            9187         11.5060    -126.701E-03         11.5047    -124.218E-03
            9188         11.4910    -131.942E-03         11.4895    -136.530E-03
            9189         11.4665    -132.800E-03         11.4649    -136.779E-03
            9190         11.5260    -126.568E-03         11.5246    -127.449E-03
            9191         11.4713    -132.079E-03         11.4698    -134.960E-03
            9192         11.5259    -127.602E-03         11.5244    -127.814E-03
            9193         11.5382    -127.376E-03         11.5368    -129.344E-03
            9194         11.5156    -130.611E-03         11.5141    -134.870E-03
            9195         11.4753    -132.796E-03         11.4737    -139.244E-03
            9196         11.5111    -126.520E-03         11.5097    -125.109E-03
            9197         11.4763    -133.039E-03         11.4747    -140.288E-03
            9198         11.5043    -126.178E-03         11.5030    -124.108E-03
            9199         11.4746    -132.619E-03         11.4730    -137.085E-03
            9200         11.4592    -132.839E-03         11.4576    -136.265E-03
            9201         11.5224    -126.864E-03         11.5210    -126.907E-03
            9202         11.5301    -126.602E-03         11.5287    -128.172E-03
            9203         11.4554    -133.824E-03         11.4537    -140.154E-03
            9204         11.5021    -125.424E-03         11.5007    -124.390E-03
            9205         11.4747    -132.683E-03         11.4731    -138.135E-03
