********************************************************************************
Field Output Report, written Wed Nov  4 12:01:04 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/RotationalRobot/80kPaNoInt.odb
   Step: Pressure-Load
   Frame: Increment     11: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLANARROBOT

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            1761     61.8318E-06     11.5262E-06    -15.5779E-06     58.7167E-06
            1762     61.1164E-06    -4.28142E-06    -14.8892E-06     59.1201E-06
            1763     58.5572E-06    -19.7507E-06    -12.1022E-06     53.7809E-06
            1764     58.4158E-06    -32.6179E-06    -12.4239E-06     46.8415E-06
            1765     54.4040E-06    -40.6757E-06    -8.13361E-06     35.2012E-06
            1766     45.4752E-06    -40.0650E-06    -5.30208E-06     20.8490E-06
            1767     31.9302E-06    -31.1063E-06    -3.44857E-06     6.32786E-06
            1768     13.1885E-06    -12.9430E-06     454.500E-09    -2.49180E-06
            1769     43.4117E-06    -40.7890E-06    -5.36812E-06     13.8572E-06
            1770     75.0733E-06    -73.0744E-06    -7.80879E-06    -15.3345E-06
            1771     100.272E-06    -84.7939E-06    -12.7485E-06    -51.9797E-06
            1772     106.054E-06    -67.2247E-06    -17.8389E-06    -80.0630E-06
            1773     113.848E-06    -41.1633E-06    -24.1292E-06    -103.367E-06
            1774     111.104E-06    -3.79519E-06    -26.0091E-06    -107.950E-06
            1775     102.447E-06     28.6019E-06    -23.0843E-06    -95.6267E-06
            1776     87.9825E-06     50.3613E-06    -17.0550E-06    -70.0984E-06
            1777     78.3017E-06     62.1283E-06    -10.9440E-06    -46.3838E-06
            1778     61.4453E-06     57.2206E-06    -8.16965E-06    -20.8467E-06
            1779     42.5084E-06     42.3075E-06    -4.00552E-06     999.079E-09
            1780     24.7856E-06     17.8651E-06    -1.28885E-06     17.1319E-06
            1781     26.2612E-06    -15.6202E-06     2.46296E-06     20.9665E-06
            1782     48.8448E-06    -47.3118E-06     8.27215E-06     8.88714E-06
            1783     76.3516E-06    -71.9971E-06     15.9348E-06    -19.8006E-06
            1784     101.742E-06    -79.6580E-06     23.5392E-06    -58.7536E-06
            1785     120.341E-06    -66.6743E-06     28.0905E-06    -96.1636E-06
            1786     132.743E-06    -36.2154E-06     35.8941E-06    -122.559E-06
            1787     135.158E-06     7.46541E-06     37.0745E-06    -129.759E-06
            1788     132.582E-06     48.7228E-06     32.9893E-06    -118.810E-06
            1789     122.849E-06     77.0956E-06     29.2264E-06    -91.0711E-06
            1790     102.283E-06     85.9080E-06     22.1967E-06    -50.8819E-06
            1791     77.0372E-06     74.7789E-06     14.0231E-06    -12.0913E-06
            1792     49.7828E-06     46.6459E-06     6.64944E-06     16.0710E-06
            1793     19.3928E-06     2.24668E-06    -299.661E-09     19.2599E-06
            1794     393.821E-06    -7.80638E-06     49.4895E-06     390.621E-06
            1795     309.595E-06    -91.5138E-06     24.5162E-06     294.742E-06
            1796     303.932E-06     32.8797E-06    -30.6339E-06     300.592E-06
            1797     381.279E-06     35.6102E-06    -85.4629E-06     369.867E-06
            1798     336.211E-06    -32.3400E-06    -94.2495E-06     321.106E-06
            1799     281.132E-06     67.9653E-06    -12.6594E-06     272.499E-06
            1800     383.161E-06     124.693E-06     52.1923E-06     358.525E-06
            1801     256.401E-06     229.517E-06    -104.449E-06     46.4122E-06
            1802     768.733E-06    -377.247E-06    -184.688E-06    -643.837E-06
            1803     824.868E-06     167.134E-06    -256.520E-06    -765.944E-06
            1804     451.360E-06     382.834E-06    -171.279E-06    -166.814E-06
            1805     107.468E-06    -74.0877E-06    -57.9494E-06     51.9840E-06
            1806     551.150E-06    -436.518E-06    -29.2116E-06    -335.209E-06
            1807     734.390E-06    -88.1399E-06    -3.88902E-06    -729.071E-06
            1808     1.43142E-03     43.8984E-06     156.212E-06     1.42220E-03
            1826     1.35595E-03    -706.958E-06    -1.09774E-03    -365.744E-06
            5697              0.    -1.23574E-39     850.859E-42              0.
            5698              0.     478.029E-42    -234.661E-42              0.
            5699              0.     3.15853E-42     4.52479E-42              0.
            5700              0.    -57.4364E-42    -15.2994E-42              0.
            5701              0.    -5.07270E-42    -24.8366E-42              0.
            5702              0.    -334.475E-42    -661.609E-42              0.
            5703              0.     805.092E-42    -7.61886E-42              0.
            5704              0.     656.981E-42     362.245E-42              0.
            5705              0.    -800.303E-42    -291.291E-42              0.
            5706              0.     20.3384E-42    -7.97199E-42              0.
            5707              0.    -38.6492E-42     4.05956E-42             -0.
            5708              0.     5.64443E-42     13.2717E-42              0.
            5709              0.    -8.33913E-42    -634.788E-45              0.
            5710              0.     14.9406E-42     21.3222E-42              0.
            5711              0.    -1.06983E-39    -4.33398E-39              0.
            5712              0.     33.3943E-42    -4.74059E-42             -0.
            5713              0.     266.233E-42     1.88550E-39              0.
            5714              0.     112.961E-42     456.564E-42             -0.
            5715              0.    -1.75443E-42     31.6707E-42             -0.
            5716              0.    -12.1338E-42    -1.35506E-42             -0.
            5717              0.     71.2813E-42     24.1794E-42              0.
            5718              0.     3.05063E-42     39.6722E-42              0.
            5719              0.     17.0566E-42     6.85936E-42             -0.
            5720              0.    -599.405E-42     70.6100E-42             -0.
            5721              0.    -1.02304E-39     482.312E-42              0.
            5722              0.     202.884E-42     458.843E-42             -0.
            5723              0.     874.918E-42    -405.275E-42             -0.
            5724              0.     34.8769E-42    -715.900E-42              0.
            5725              0.     8.54512E-42     32.5143E-42              0.
            5726              0.    -9.31303E-42    -17.1533E-42             -0.
            5727              0.     26.2253E-42     273.253E-45             -0.
            5728              0.    -556.315E-45    -15.4717E-42              0.
            5729              0.     3.08426E-42     13.7678E-42             -0.
