********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
           51429         35.2357
           51522         35.1529
           51568         35.4310
           51600         35.4335
           51867         35.4533
           52299         34.7149
           52303         34.7034
           52304         34.7533
           52393         34.6955
           52394         34.7187
           52446         35.4636
           52450         35.4241
           52451         35.4555
           52573         35.2709
           52915         35.2773
           52964         34.6689
           52965         34.6901
           52973         35.2291
           52985         35.2888
           52986         35.2785
           53085         34.7637
           53117         35.4647
           53118         35.4557
           53182         35.1672
           53202         35.2572
           53505         34.6242
           53547         34.5832
           53549         34.5938
           53607         34.3918
           53608         34.4365
           53609         34.3844
           53619         34.4881
           53620         34.4797
           53626         34.4735
           53785         35.3098
           53786         35.3095
           53843         35.1055
           53897         34.6381
           53986         34.4637
           54094         34.6276
           54170         34.4971
           54171         34.5323
           54258         34.6626
           54259         34.6549
           54275         34.6390
           54314         34.7699
           54320         34.6520
           54322         34.6658
           54559         34.7430
           54644         35.1783
           54645         35.1340
           54805         35.5070
           54806         35.4964
           54829         34.7249
           54830         34.7243
           54836         34.3777
           54923         34.6587
           54942         34.7000
           54943         34.6925
           55084         35.4738
           55086         35.4703
           55160         34.6034
           55193         35.2126
           55208         35.3198
           55245         34.7413
           55257         35.4608
           55258         35.4540
           55345         34.8992
           55384         34.8052
           55385         34.7816
           55617         35.4367
           55633         35.2816
           55771         35.5196
           55774         35.5253
           55775         35.5330
           55989         34.3456
           56024         35.3236
           56216         35.2458
           56294         34.3591
           56339         35.3482
           56361         35.5123
           56362         35.5192
           56440         35.2438
           56441         35.2671
           56566         35.3024
           56628         35.2510
           56672         35.3013
           56673         35.3015
           56674         35.3113
           57221         35.4611
           57222         35.4585
           57294         35.4825
           57344         35.3206
           57370         34.4744
           57481         34.5109
           57482         34.4883
           57522         34.3702
           57603         35.1820
           57607         34.8154
           57691         34.4644
           57694         34.5248
           57913         34.4777
           57928         34.3943
           57975         34.6108
           58220         35.3215
           58222         35.3250
           58367         35.3056
           58368         35.3131
           58525         35.2955
           58561         35.2263
           58623         35.4998
           58778         35.4677
           58867         35.5203
           58874         35.3406
           58909         34.5611
           58910         34.5731
           59131         35.4986
           59134         35.2922
           59147         35.5003
           59148         35.5092
           59194         35.4787
           59195         35.4852
           59234         35.3202
           59309         35.5070
           59319         35.5189
           59328         35.2736
           59374         35.4657
           59379         34.6902
           59473         35.4990
           59476         35.5062
           59477         35.5018
           59529         35.4852
           59530         35.4855
           59658         35.4978
           59705         35.3339
           59708         35.4768
           59717         35.3396
           59721         35.3279
           59722         35.3336
           59850         34.7303
           59851         34.7214
           59964         34.4474
           59978         34.3385
           59982         34.3808
           59983         34.3554
           60297         35.4716


  Minimum                34.3127
         At Node            3432

  Maximum                35.5339
         At Node            3485

           Total     44.7949E+03


